2i+α,2j+β,2k+γ,2l+δ,U_{ijkl}^{αβγδ}
1,1,1,1,10.464
1,1,1,2,0.300
1,1,2,1,0.300
1,1,2,2,6.240
1,2,1,1,0.300
1,2,1,2,0.123
1,2,2,1,0.123
1,2,2,2,0.297
2,1,1,1,0.300
2,1,1,2,0.123
2,1,2,1,0.123
2,1,2,2,0.297
2,2,1,1,6.240
2,2,1,2,0.297
2,2,2,1,0.297
2,2,2,2,10.459
1,1,1,3,-0.251
1,1,1,4,0.085
1,1,2,3,0.054
1,2,1,3,-0.019
2,1,1,3,-0.019
2,2,1,3,-0.128
2,2,2,3,0.287
2,2,2,4,0.013
1,1,1,5,-0.034
1,1,2,5,0.043
2,2,1,5,0.027
2,2,2,5,0.073
2,2,2,6,-0.048
1,1,3,1,-0.251
1,1,3,2,0.054
1,1,4,1,0.085
1,2,3,1,-0.019
2,1,3,1,-0.019
2,2,3,1,-0.128
2,2,3,2,0.287
2,2,4,2,0.013
1,1,3,3,4.401
1,1,3,4,-0.011
1,1,4,3,-0.011
1,1,4,4,3.049
1,2,3,3,0.066
1,2,4,4,-0.013
2,1,3,3,0.066
2,1,4,4,-0.013
2,2,3,3,6.246
2,2,3,4,0.067
2,2,4,3,0.067
2,2,4,4,4.380
1,1,3,5,-0.060
2,2,3,5,-0.132
2,2,3,6,0.045
2,2,4,6,0.031
1,1,5,1,-0.034
1,1,5,2,0.043
2,2,5,1,0.027
2,2,5,2,0.073
2,2,6,2,-0.048
1,1,5,3,-0.060
2,2,5,3,-0.132
2,2,6,3,0.045
2,2,6,4,0.031
1,1,5,5,2.263
2,2,5,5,3.054
2,2,6,6,2.269
1,3,1,1,-0.251
1,3,1,2,-0.019
1,3,2,1,-0.019
1,3,2,2,-0.128
1,4,1,1,0.085
2,3,1,1,0.054
2,3,2,2,0.287
2,4,2,2,0.013
1,3,1,3,0.024
2,3,2,3,0.124
2,4,2,4,0.025
1,3,3,1,0.024
2,3,3,2,0.124
2,4,4,2,0.025
1,3,3,3,0.013
1,4,4,4,0.084
2,3,3,3,0.286
2,3,4,4,0.053
2,4,3,3,-0.130
2,4,3,4,-0.019
2,4,4,3,-0.019
2,4,4,4,-0.253
2,3,3,5,-0.020
2,4,4,5,-0.020
2,3,5,3,-0.020
2,4,5,4,-0.020
1,3,5,5,0.031
1,4,5,5,0.044
2,4,5,5,-0.134
2,4,6,6,-0.060
1,5,1,1,-0.034
1,5,2,2,0.027
2,5,1,1,0.043
2,5,2,2,0.073
2,6,2,2,-0.048
1,5,3,3,0.036
1,5,4,4,0.021
2,5,3,3,-0.026
2,5,4,4,-0.027
2,6,3,3,0.021
2,6,4,4,0.037
1,5,5,5,-0.048
2,5,5,5,0.073
2,5,6,6,0.042
2,6,5,5,0.028
2,6,6,6,-0.033
3,1,1,1,-0.251
3,1,1,2,-0.019
3,1,2,1,-0.019
3,1,2,2,-0.128
3,2,1,1,0.054
3,2,2,2,0.287
4,1,1,1,0.085
4,2,2,2,0.013
3,1,1,3,0.024
3,2,2,3,0.124
4,2,2,4,0.025
3,1,3,1,0.024
3,2,3,2,0.124
4,2,4,2,0.025
3,1,3,3,0.013
3,2,3,3,0.286
3,2,4,4,0.053
4,1,4,4,0.084
4,2,3,3,-0.130
4,2,3,4,-0.019
4,2,4,3,-0.019
4,2,4,4,-0.253
3,2,3,5,-0.020
4,2,4,5,-0.020
3,2,5,3,-0.020
4,2,5,4,-0.020
3,1,5,5,0.031
4,1,5,5,0.044
4,2,5,5,-0.134
4,2,6,6,-0.060
3,3,1,1,4.401
3,3,1,2,0.066
3,3,2,1,0.066
3,3,2,2,6.246
3,4,1,1,-0.011
3,4,2,2,0.067
4,3,1,1,-0.011
4,3,2,2,0.067
4,4,1,1,3.049
4,4,1,2,-0.013
4,4,2,1,-0.013
4,4,2,2,4.380
3,3,1,3,0.013
3,3,2,3,0.286
3,3,2,4,-0.130
3,4,2,4,-0.019
4,3,2,4,-0.019
4,4,1,4,0.084
4,4,2,3,0.053
4,4,2,4,-0.253
3,3,1,5,0.036
3,3,2,5,-0.026
3,3,2,6,0.021
4,4,1,5,0.021
4,4,2,5,-0.027
4,4,2,6,0.037
3,3,3,1,0.013
3,3,3,2,0.286
3,3,4,2,-0.130
3,4,4,2,-0.019
4,3,4,2,-0.019
4,4,3,2,0.053
4,4,4,1,0.084
4,4,4,2,-0.253
3,3,5,1,0.036
3,3,5,2,-0.026
3,3,6,2,0.021
4,4,5,1,0.021
4,4,5,2,-0.027
4,4,6,2,0.037
3,5,1,1,-0.060
3,5,2,2,-0.132
3,6,2,2,0.045
4,6,2,2,0.031
3,5,2,3,-0.020
4,5,2,4,-0.020
3,5,3,2,-0.020
4,5,4,2,-0.020
5,1,1,1,-0.034
5,1,2,2,0.027
5,2,1,1,0.043
5,2,2,2,0.073
6,2,2,2,-0.048
5,1,3,3,0.036
5,1,4,4,0.021
5,2,3,3,-0.026
5,2,4,4,-0.027
6,2,3,3,0.021
6,2,4,4,0.037
5,1,5,5,-0.048
5,2,5,5,0.073
5,2,6,6,0.042
6,2,5,5,0.028
6,2,6,6,-0.033
5,3,1,1,-0.060
5,3,2,2,-0.132
6,3,2,2,0.045
6,4,2,2,0.031
5,3,2,3,-0.020
5,4,2,4,-0.020
5,3,3,2,-0.020
5,4,4,2,-0.020
5,5,1,1,2.263
5,5,2,2,3.054
6,6,2,2,2.269
5,5,1,3,0.031
5,5,1,4,0.044
5,5,2,4,-0.134
6,6,2,4,-0.060
5,5,1,5,-0.048
5,5,2,5,0.073
5,5,2,6,0.028
6,6,2,5,0.042
6,6,2,6,-0.033
5,5,3,1,0.031
5,5,4,1,0.044
5,5,4,2,-0.134
6,6,4,2,-0.060
5,5,5,1,-0.048
5,5,5,2,0.073
5,5,6,2,0.028
6,6,5,2,0.042
6,6,6,2,-0.033